"Tag","Datum","Wochentag","Plattform","Kategorie","Hook","Caption","CTA","Hashtags","Motiv_Idee","Gepostet"
"139","2027-02-06","Samstag","Instagram + TikTok","Pain","The menu that smells like yesterday's fryer.","Paper absorbs grease, spills and smells - and it shows. Laminate helps for a while, then it doesn't. A phone screen wipes clean and never picks up the smell of the kitchen.","There's a cleaner way to menu","#RestaurantHygiene #CaféOwner #QRMenu #RestaurantTips #SmartMenuSolutions #FoodService","Close-up of a stained, worn laminated menu page next to a clean phone screen showing the digital menu.",""
"140","2027-02-07","Sonntag","Instagram + TikTok","Feature","No app. No download. Just a scan.","Guests already have a camera in their pocket - that's the whole install process. Point, scan, see the full menu in their browser. Nothing to download, nothing to delete afterward.","Zero friction, for you and your guests","#QRMenu #NoAppNeeded #RestaurantTech #Hospitality #SmartMenuSolutions #CaféLife","Film a guest simply pointing their phone camera at a table QR code and the menu opening instantly in the browser.",""
"141","2027-02-08","Montag","Instagram + TikTok","Demo","From order form to live QR menu - the whole setup, sped up.","Choose a plan, upload your current menu, and Smart Menu Solutions sets up your digital menu and QR code - typically live within days, not weeks.","See how fast you could be live","#RestaurantOnboarding #QRMenu #SmallBusinessSetup #SmartMenuSolutions #Gastronomie","Fast time-lapse style montage: order form submission, PDF upload, then the finished live QR menu on a phone.",""
"142","2027-02-09","Dienstag","Instagram + TikTok","Tips","Where guests actually look first on a menu (it's not the top).","Eye-tracking studies on printed menus consistently find the top-right corner gets the first, longest look. That's prime real estate for your highest-margin dish - on paper or on a screen.","Put your best dish where eyes land","#MenuDesign #RestaurantTips #MenuPsychology #Gastronomie #RestaurantOwner","Simple diagram-style overlay on a menu screenshot showing an eye-tracking heat pattern starting top-right.",""
"143","2027-02-10","Mittwoch","Instagram + TikTok","Trend","Things that live rent-free in every server's head: table 4 asking for the specials that changed an hour ago.","A relatable, slightly exaggerated skit about how fast specials get out of date on paper - and how a digital menu update fixes it instantly, mid-shift.","Update specials without the chaos","#ServerLife #RestaurantHumor #Relatable #QRMenu #Trending #Hospitality","Mini skit: a server visibly flustered explaining an outdated special, then calmly updating it on a phone instead.",""
"144","2027-02-11","Donnerstag","Instagram + TikTok","Offer","Smart Food Match, now on every plan for +5 euro a year.","Personalized recommendations from three quick questions, fully integrated into your existing QR menu - one of the smallest add-on costs that can genuinely lift average order value.","Add Smart Food Match at checkout","#SmartFoodMatch #QRMenu #MenuInnovation #SmartMenuSolutions #RestaurantOwner","Product shot of the Smart Food Match add-on toggle on the order form with the +5 euro/year label visible.",""
"145","2027-02-12","Freitag","Instagram + TikTok","Pain","Someone ordered the risotto. You 86'd it Tuesday.","Nothing kills a first impression like ordering a dish that's been off the menu for three days. One dashboard update and it's gone everywhere at once - no more apologizing table by table.","Never 86 the hard way again","#RestaurantLife #KitchenTips #RestaurantOwner #86d #QRMenu #Gastronomie #RestaurantManagement","Show a server crossing something off a paper menu with an awkward apology gesture, then cut to removing the item on the dashboard.",""
"146","2027-02-13","Samstag","Instagram + TikTok","Feature","Upload your PDF. We turn it into a live digital menu.","Already have a menu as a PDF? Smart Menu Solutions reads it, pulls out your categories and dishes, and turns it into a scannable digital menu - no manual retyping needed.","Start with the menu you already have","#RestaurantOnboarding #QRMenu #SmartMenuSolutions #RestaurantOwner #DigitalTransformation","Screen-record dragging a PDF menu into the upload box, then show the parsed digital menu appearing seconds later.",""
"147","2027-02-14","Sonntag","Instagram + TikTok","Demo","Here's what a guest actually sees, start to finish.","No narration needed - just watch a real guest scan a table QR code, browse categories, tap into a dish photo, and place an order with the server. That's the whole flow.","This could be your guest's next visit","#GuestExperience #QRMenu #RestaurantDemo #Hospitality #CaféLife","POV-style: guest's hand scanning the code, thumb scrolling the menu, pausing on a dish photo, then flagging the server.",""
"148","2027-02-15","Montag","Instagram + TikTok","Tips","Photos increase orders of that dish - here's the honest range.","Studies on menu photography consistently show a real lift in orders for photographed dishes, though the exact number varies by cuisine and photo quality. Even a handful of good photos on your bestsellers can move the needle.","Start with your top 5 dishes","#FoodPhotography #RestaurantMarketing #MenuTips #Gastronomie #RestaurantOwner","B-roll of a phone camera photographing a plated dish from directly above in good natural light.",""
"149","2027-02-16","Dienstag","Instagram + TikTok","Trend","Day in the life of a café owner who finally ditched paper menus.","A quick, relatable montage format - morning coffee, updating a price from the counter in ten seconds, no printer in sight, guests scanning happily all day.","See a day without reprint stress","#DayInTheLife #CaféOwner #RestaurantLife #QRMenu #Trending #SmallBusiness","Montage: coffee pour, quick price edit on phone, QR code table tent shot, guest scanning and smiling.",""
"150","2027-02-17","Mittwoch","Instagram + TikTok","Offer","Already have a menu PDF? You're closer to live than you think.","Upload what you already have, choose your plan, and Smart Menu Solutions turns it into a working QR menu - most of the setup work happens on our side, not yours.","Start your order -> link in bio","#RestaurantOnboarding #QRMenu #SmartMenuSolutions #SmallBusiness #Gastronomie","Show a menu PDF being dragged into the order form upload box on a laptop or phone screen.",""
"151","2027-02-18","Donnerstag","Instagram + TikTok","Pain","The seasonal menu that took a week to print.","New season, new dishes, new print run, new wait. By the time 60 laminated menus come back from the printer, half the season's gone. A digital menu is ready the moment you hit save.","Launch your next menu in minutes","#SeasonalMenu #RestaurantOwner #CaféLife #QRMenu #RestaurantTech #SmallBusiness","Show a calendar flipping through weeks next to a stack of menus, then cut to instantly publishing a new dish on the dashboard.",""
"152","2027-02-19","Freitag","Instagram + TikTok","Feature","Your own QR code. Your own menu. Your own brand.","Every Smart Menu Solutions client gets a unique QR code, styled and ready to print on table tents, stickers or window clings - all pointing straight to your live, always-current menu.","Get your own QR code today","#QRCode #RestaurantBranding #QRMenu #SmallBusiness #CaféOwner #Gastronomie","Show a printed QR table tent on a real table, someone scanning it, and the branded digital menu opening.",""
"153","2027-02-20","Samstag","Instagram + TikTok","Demo","Switching languages shouldn't take longer than ordering.","Tap a flag, the whole menu changes - names, descriptions, prices formatted correctly. Watch how fast a guest can go from Greek to English to German on the same phone.","See every language, live","#MultilingualMenu #QRMenu #TravelGreece #RestaurantTech #Hospitality","Screen-record rapidly tapping between 3-4 language flags on the live menu, showing instant full-page translation.",""
"154","2027-02-21","Sonntag","Instagram + TikTok","Tips","Three words beat ten, every time.","'Grandma's slow-braised lamb, cooked for six hours in red wine and herbs' sounds nice - and most guests skim right past it. Short, specific, appetizing beats long and literary. Save the story for your Instagram caption.","Tighten your menu copy this week","#MenuWriting #RestaurantTips #Copywriting #Gastronomie #CaféOwner","Text overlay comparing a long dish description crossed out next to a short, punchy rewrite.",""
"155","2027-02-22","Montag","Instagram + TikTok","Trend","Guess the price before it changes - the QR menu edition.","A light, game-show style trend: guess today's price on a dish, reveal the current (instantly updated) price on the live digital menu. Fun way to show off real-time updates.","Play along -> comment your guess","#GuessThePrice #RestaurantGame #QRMenu #Trending #FoodTok #Gastronomie","Playful game-show format: guess overlay on a dish photo, big reveal of the actual current price from the live menu.",""
"156","2027-02-23","Dienstag","Instagram + TikTok","Offer","Every plan includes your own QR code, ready to print.","No separate QR code tool, no extra subscription - every Smart Menu Solutions plan comes with a unique, styled QR code pointing straight at your live menu.","Included in every plan, every time","#QRCode #QRMenu #SmartMenuSolutions #RestaurantOwner #Gastronomie","Product-style close-up of a printed QR code table tent next to a laptop showing the plan comparison page.",""
"157","2027-02-24","Mittwoch","Instagram + TikTok","Pain","Your hotel breakfast menu, in one language, for guests from twelve countries.","Hotel restaurants see the widest mix of nationalities in hospitality - and most still hand out a single-language card. A QR menu speaks back in whatever language your guest already has on their phone.","Built for international guests","#HotelRestaurant #Hospitality #QRMenu #MultilingualMenu #HotelTips #Gastronomie","Film a breakfast buffet area, then a guest scanning the QR code and switching the menu to their own language.",""
"158","2027-02-25","Donnerstag","Instagram + TikTok","Feature","Smart Food Match(tm): 3 questions, 1 perfect order.","Guests answer three quick questions about what they're craving and get a personalized dish recommendation straight from your menu. Less scrolling, faster decisions, bigger average orders.","Add Smart Food Match to your menu","#SmartFoodMatch #RestaurantTech #QRMenu #MenuInnovation #Foodie #Gastronomie","Film a guest tapping through the 3-question quiz on their phone and landing on a recommended dish, looking pleased.",""
"159","2027-02-26","Freitag","Instagram + TikTok","Demo","The dish photo that changed how fast a table orders.","Two guests, same menu, one version with photos, one without. Watch how much faster the table with photos actually decides. Small change, real impact on turnover.","Add photos, see the difference","#MenuPsychology #RestaurantTips #QRMenu #FoodPhotography #RestaurantOwner","Side-by-side mock: guest scrolling a text-only menu looking unsure vs. scrolling a menu with photos and pointing quickly.",""
"160","2027-02-27","Samstag","Instagram + TikTok","Tips","Stop pricing everything in round numbers.","€10.00 reads as a bigger spend than €9.80, even though it barely matters to your margin. Small, deliberate pricing choices like this are standard practice in menu engineering - and cost nothing to test.","Small menu tweaks, real results","#MenuEngineering #RestaurantTips #Pricing #Gastronomie #RestaurantOwner","Simple side-by-side text card: €10.00 vs €9.80, with a subtle visual emphasis on the smaller number feeling lighter.",""
"161","2027-02-28","Sonntag","Instagram + TikTok","Trend","That feeling when the specials board and the printed menu finally agree.","A relatable 'main character' moment for restaurant owners: the small satisfaction of everything - QR menu, table tent, staff - being in sync because there's only one source of truth now.","One menu, everyone in sync","#RestaurantOwner #Relatable #QRMenu #SmallBusiness #Trending #Gastronomie","Satisfying montage: staff checking the same live menu on different phones, all matching, ending on a relieved smile.",""
"162","2027-03-01","Montag","Instagram + TikTok","Offer","Questions about which plan fits your restaurant? Just ask.","Every plan question gets a real, human reply - no chatbot, no ticket queue. Email us and get a straight answer about which plan actually fits your table count and menu size.","Email your question -> bio link","#SmartMenuSolutions #CustomerSupport #QRMenu #RestaurantOwner #Gastronomie","Simple screen recording of composing and sending a plan question email, ending on a friendly reply notification.",""
"163","2027-03-02","Dienstag","Instagram + TikTok","Pain","Every table, a slightly different menu.","Torn corners here, a missing insert there, one table still has last month's specials. Paper menus drift out of sync fast. A QR menu means every single table shows the exact same, current menu - always.","One menu. Every table. Always current.","#RestaurantConsistency #RestaurantOwner #QRMenu #CaféOwner #RestaurantTips #Gastronomie","Show three different paper menus on three tables looking slightly different, then cut to three phones showing the identical digital menu.",""
"164","2027-03-03","Mittwoch","Instagram + TikTok","Feature","One dashboard. Every part of your menu.","Categories, dish photos, prices, languages, course types, portion sizes - all editable from one simple screen. No developer, no waiting on an agency, no ticket queue.","See the dashboard for yourself","#RestaurantDashboard #MenuManagement #QRMenu #SmartMenuSolutions #RestaurantOwner","Screen-record scrolling through the admin dashboard tabs: Details, Menu & Photos, Languages - fast and confident.",""
"165","2027-03-04","Donnerstag","Instagram + TikTok","Demo","Smart Food Match, from question one to recommended dish.","Watch a guest answer three simple questions - mood, craving, dietary note - and land on a dish they'd never have scrolled to on their own.","Let your menu make the recommendation","#SmartFoodMatch #QRMenu #MenuInnovation #RestaurantTech #Foodie","Screen-record the full 3-question quiz flow ending on a recommended dish card with a satisfied guest reaction.",""
"166","2027-03-05","Freitag","Instagram + TikTok","Tips","Your specials board works harder digitally than on a chalkboard.","A chalkboard special only reaches guests already inside. A digital menu update reaches everyone who scans your QR code that day - including the table that hasn't sat down yet.","Push today's special everywhere at once","#DailySpecials #RestaurantMarketing #QRMenu #RestaurantTips #Gastronomie","Show a handwritten chalkboard special next to a phone showing the same special live on the digital menu.",""
"167","2027-03-06","Samstag","Instagram + TikTok","Trend","Explaining the QR menu to my grandmother.","A lighthearted, genuinely charming format - walking an older relative or regular through their first QR menu scan and watching the moment it clicks.","Even the least techy guest gets it","#Relatable #QRMenu #RestaurantLife #Trending #Gastronomie #FamilyBusiness","Warm, real footage of an older guest hesitantly scanning a QR code for the first time, then smiling as the menu loads.",""
"168","2027-03-07","Sonntag","Instagram + TikTok","Offer","One year, one price, no surprise renewal fees.","All Smart Menu Solutions plans bill annually with clear, upfront pricing - what you see on the pricing page is what you pay, VAT included.","See transparent pricing -> link in bio","#TransparentPricing #QRMenu #SmartMenuSolutions #SmallBusiness #Gastronomie","Clean product-style shot scrolling the pricing page, pausing on the 'VAT incl.' label under each plan.",""
"169","2027-03-08","Montag","Instagram + TikTok","Pain","The allergy question that makes everyone nervous.","A guest asks if a dish has nuts and the paper menu has no answer - so staff guess, or run to the kitchen. A digital menu can show ingredients and notes right where the guest is already looking.","Give guests the details, not the guesswork","#FoodAllergies #RestaurantSafety #QRMenu #RestaurantOwner #CaféLife #Hospitality","Show a guest pointing at a menu item looking uncertain, then cut to the same dish's details open on their phone.",""
"170","2027-03-09","Dienstag","Instagram + TikTok","Feature","Update your menu from the beach, if you have to.","No install, no office PC required. The Smart Menu Solutions dashboard works from any phone or laptop with a browser - change today's specials from wherever you actually are.","Manage your menu from anywhere","#RestaurantOwnerLife #SmallBusinessTools #QRMenu #RemoteManagement #Hospitality","Show someone casually editing today's specials on a phone while clearly not in the restaurant - a terrace, a car, a beach chair.",""
"171","2027-03-10","Mittwoch","Instagram + TikTok","Demo","One QR code. Every table, chair and bar stool covered.","Print it once, place it everywhere - table tents, coasters, the bar counter. Every scan opens the exact same, always-current menu, no matter which one they used.","Get your QR code set up","#QRCode #RestaurantSetup #QRMenu #BarMenu #Gastronomie","Show the same QR code printed on a table tent, a coaster and a bar counter sticker, each getting scanned in turn.",""
"172","2027-03-11","Donnerstag","Instagram + TikTok","Tips","The fastest way to spot a menu that's overdue for an update.","If you can't remember the last time you changed a price or removed a dish, guests have probably noticed before you have. A quick monthly menu review keeps things sharp - digital makes that review a five-minute job.","Review your menu this month","#MenuManagement #RestaurantTips #RestaurantOwner #Gastronomie #SmallBusinessTips","Calendar graphic circling 'once a month' next to a quick screen-record of reviewing dishes in the dashboard.",""
"173","2027-03-12","Freitag","Instagram + TikTok","Trend","Ranking table tent QR code designs from worst to best.","A quick visual trend ranking a few QR code table-tent designs, ending on a clean, on-brand one that actually matches the restaurant's look.","Get a QR code that matches your brand","#QRCode #RestaurantBranding #Trending #QRMenu #Gastronomie #MenuDesign","Rapid-cut format flipping through a few table tent designs with on-screen ratings, ending on the polished branded one.",""
"174","2027-03-13","Samstag","Instagram + TikTok","Offer","Renewing is even easier than setting up the first time.","Confirm your plan, upload your current menu if anything changed, and you're set for another year - the renewal flow takes minutes, not a new onboarding call.","See how renewal works","#SmartMenuSolutions #QRMenu #RestaurantOwner #Renewal #Gastronomie","Screen-record the renewal.html flow: confirm plan, upload menu, submit - fast and simple.",""
"175","2027-03-14","Sonntag","Instagram + TikTok","Pain","Printing menus is the most expensive way to say 'sold out'.","Every reprint costs money and still goes stale the moment one dish changes. A digital menu removes the reprint bill entirely - and the item that's gone is gone everywhere, instantly.","Stop paying to print outdated menus","#RestaurantCosts #SmallBusiness #QRMenu #RestaurantOwner #Gastronomie #CaféOwner","Show a stack of freshly printed menus going straight into a recycling bin, then cut to one clean phone screen replacing all of them.",""
"176","2027-03-15","Montag","Instagram + TikTok","Feature","Course types, sorted automatically - override anytime.","Starters, mains, desserts: Smart Menu Solutions suggests the course type for each dish automatically, and you can change it in one tap if it's wrong. Less setup work, same full control.","Set up your menu in minutes","#RestaurantSetup #MenuManagement #QRMenu #SmartMenuSolutions #RestaurantTech","Screen-record adding a new dish and watching the course-type suggestion appear automatically, then tapping to override it.",""
"177","2027-03-16","Dienstag","Instagram + TikTok","Demo","The admin dashboard, three tabs, one afternoon.","Details, Menu & Photos, Languages - most owners have their full digital menu set up and reviewed in about the time it takes to do inventory.","Set your menu up this week","#RestaurantSetup #QRMenu #SmartMenuSolutions #MenuManagement #SmallBusiness","Quick screen-record tour through the three dashboard tabs, pausing briefly on each with a checkmark animation or tap.",""
"178","2027-03-17","Mittwoch","Instagram + TikTok","Tips","Group your menu the way guests actually decide, not the way your kitchen is organized.","Kitchens think in stations. Guests think in starters, mains, sides, drinks, dessert. A menu structured for the guest's decision path moves tables through ordering faster.","Rethink your menu categories","#MenuDesign #RestaurantTips #Gastronomie #CaféOwner #RestaurantOwner","Simple before/after graphic: kitchen-station-based category list vs. guest-friendly category list.",""
"179","2027-03-18","Donnerstag","Instagram + TikTok","Trend","POV: the tourist table just found the language switcher.","Capture the genuine relief on a non-local guest's face the moment they realize the menu speaks their language - a small moment that says a lot about the guest experience.","Make every guest feel understood","#POV #TravelGreece #QRMenu #Hospitality #Trending #Gastronomie","Film a tourist guest's face lighting up as they tap the language flag and the menu switches to their native language.",""
"180","2027-03-19","Freitag","Instagram + TikTok","Offer","Still deciding? Start with the plan you can grow out of.","It's easier to upgrade a Smart Start menu to Smart Pro later than to overbuy features you don't need yet. Start where your restaurant actually is today.","Compare all three plans -> link in bio","#SmartMenuSolutions #QRMenu #RestaurantOwner #SmallBusinessTips #Gastronomie","Simple comparison graphic or screen-record scrolling across all three pricing cards side by side.",""
